# Frozen `ReplacementEvent::Draw` card corpus (Plan 03 / CR 121.2).
#
# Generated by scripts/draw_replacement_census.py --corpus --write from
# data/card-data.json. Do not hand-edit.
# Columns: card <TAB> event <TAB> mode <TAB> quantity_modification <TAB>
#          execute root <TAB> nested-draw <TAB> required DrawReplacementScope.
#
# The scope column is the contract: when Plan 03 adds
# `DrawReplacementScope` to `ReplacementDefinition`, the value each producer
# assigns to these cards must equal the value frozen here. It is derived
# mechanically (InstructionCount iff the definition's condition or its
# substitute's Draw count reads `EventContextAmount` -- the CR 121.2a
# count-form threshold and count-modifier shapes), NOT hand-listed.
#
# `nested-draw` marks a substitute whose own execute starts a fresh Draw
# instruction. Per CR 121.6b / CR 616.1g those drain as a *child* draw before
# the original sequence resumes -- they never become `count > 1` on the
# individual draw they replaced.
#
# `event=DrawCards` must stay at zero rows: it is a dead registry alias
# (replacement.rs `registry.insert(DrawCards, stub())`) with no corpus member.
# Plan 03 removes it rather than carrying a second runtime event class.
#
# Exact-match gate: an added, removed, or reclassified card fails until a human
# reviews it and re-freezes.
#
abundance	Draw	Optional	none	Choose	-	IndividualDraw
alhammarret's archive	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
alms collector	Draw	Mandatory	none	Draw	nested-draw	InstructionCount
archmage ascension	Draw	Optional	none	SearchLibrary	-	IndividualDraw
asmodeus the archfiend	Draw	Mandatory	none	ExileTop	-	IndividualDraw
bard, king of dale	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
blood scrivener	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
breathstealer's crypt	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
chains of mephistopheles	Draw	Mandatory	none	Discard	nested-draw	IndividualDraw
dakmor salvage	Draw	Optional	none	Mill	-	IndividualDraw
darkblast	Draw	Optional	none	Mill	-	IndividualDraw
enduring renewal	Draw	Mandatory	none	RevealTop	nested-draw	IndividualDraw
eruth, tormented prophet	Draw	Mandatory	none	ExileTop	-	IndividualDraw
forbidden crypt	Draw	Mandatory	none	ChangeZone	-	IndividualDraw
golgari brownscale	Draw	Optional	none	Mill	-	IndividualDraw
golgari grave-troll	Draw	Optional	none	Mill	-	IndividualDraw
golgari thug	Draw	Optional	none	Mill	-	IndividualDraw
grave-shell scarab	Draw	Optional	none	Mill	-	IndividualDraw
greater mossdog	Draw	Optional	none	Mill	-	IndividualDraw
hullbreacher	Draw	Mandatory	none	Token	-	IndividualDraw
jace, wielder of mysteries	Draw	Mandatory	none	WinTheGame	-	IndividualDraw
laboratory maniac	Draw	Mandatory	none	WinTheGame	-	IndividualDraw
life from the loam	Draw	Optional	none	Mill	-	IndividualDraw
living conundrum	Draw	Mandatory	Prevent	none	-	IndividualDraw
magus of the chains	Draw	Mandatory	none	Discard	nested-draw	IndividualDraw
moldervine cloak	Draw	Optional	none	Mill	-	IndividualDraw
necroplasm	Draw	Optional	none	Mill	-	IndividualDraw
nightmare void	Draw	Optional	none	Mill	-	IndividualDraw
notion thief	Draw	Mandatory	none	Unimplemented	nested-draw	IndividualDraw
obstinate familiar	Draw	Optional	Prevent	none	-	IndividualDraw
ormos, archive keeper	Draw	Mandatory	none	PutCounter	-	IndividualDraw
out of the tombs	Draw	Mandatory	none	ChangeZone	-	IndividualDraw
parallel thoughts	Draw	Optional	none	ChangeZone	-	IndividualDraw
phial of galadriel	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
plagiarize	Draw	Mandatory	none	Unimplemented	nested-draw	IndividualDraw
possessed portal	Draw	Mandatory	Prevent	none	-	IndividualDraw
pursuit of knowledge	Draw	Mandatory	none	PutCounter	-	IndividualDraw
quantum riddler	Draw	Mandatory	none	Draw	nested-draw	InstructionCount
reed richards, smartest man	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
sages of the anima	Draw	Mandatory	none	RevealTop	-	IndividualDraw
shambling shell	Draw	Optional	none	Mill	-	IndividualDraw
shared fate	Draw	Mandatory	none	ChangeZone	-	IndividualDraw
shenanigans	Draw	Optional	none	Mill	-	IndividualDraw
stinkweed imp	Draw	Optional	none	Mill	-	IndividualDraw
teferi's ageless insight	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
the salubrious philosopher	Draw	Optional	none	Choose	-	IndividualDraw
thought reflection	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
tomorrow, azami's familiar	Draw	Mandatory	none	Dig	-	IndividualDraw
uba mask	Draw	Mandatory	none	ChangeZone	-	IndividualDraw
underrealm lich	Draw	Mandatory	none	Dig	-	IndividualDraw
vnwxt, verbose host	Draw	Mandatory	none	Draw	nested-draw	IndividualDraw
zur's weirding	Draw	Mandatory	none	RevealTop	nested-draw	IndividualDraw
